# x_m,y_m,w_tr_right_m,w_tr_left_m
-712.307,-638.581,7.565,7.361
-708.329,-641.620,7.584,7.382
-704.351,-644.660,7.603,7.403
-700.373,-647.699,7.622,7.424
-696.395,-650.738,7.641,7.444
-692.417,-653.778,7.659,7.465
-688.439,-656.817,7.678,7.486
-684.460,-659.856,7.697,7.507
-680.482,-662.895,7.716,7.528
-676.504,-665.934,7.735,7.549
-672.525,-668.973,7.754,7.569
-668.546,-672.012,7.773,7.590
-664.568,-675.050,7.792,7.611
-660.589,-678.089,7.810,7.632
-656.610,-681.127,7.829,7.653
-652.632,-684.166,7.848,7.673
-648.653,-687.204,7.867,7.694
-644.674,-690.243,7.886,7.715
-640.695,-693.281,7.905,7.736
-636.716,-696.319,7.924,7.757
-632.737,-699.357,7.942,7.778
-628.758,-702.396,7.961,7.798
-624.778,-705.434,7.980,7.819
-620.799,-708.472,7.999,7.840
-616.820,-711.510,8.018,7.861
-612.841,-714.548,8.037,7.882
-608.862,-717.586,8.056,7.903
-604.882,-720.624,8.075,7.923
-600.903,-723.662,8.093,7.944
-596.924,-726.700,8.112,7.965
-592.945,-729.738,8.131,7.986
-588.965,-732.776,8.150,8.007
-584.986,-735.814,8.169,8.028
-581.007,-738.852,8.188,8.048
-577.027,-741.890,8.207,8.069
-573.048,-744.928,8.226,8.090
-569.069,-747.966,8.244,8.111
-565.090,-751.004,8.263,8.132
-561.110,-754.042,8.282,8.153
-557.131,-757.080,8.301,8.173
-553.152,-760.118,8.320,8.194
-549.173,-763.156,8.339,8.215
-545.194,-766.194,8.358,8.236
-541.215,-769.233,8.377,8.257
-537.235,-772.271,8.395,8.278
-533.256,-775.309,8.414,8.298
-529.277,-778.347,8.433,8.319
-525.298,-781.386,8.452,8.340
-521.319,-784.424,8.471,8.361
-517.340,-787.462,8.490,8.382
-513.361,-790.501,8.509,8.403
-509.382,-793.539,8.527,8.423
-505.403,-796.578,8.546,8.444
-501.424,-799.616,8.565,8.465
-497.445,-802.655,8.584,8.486
-493.466,-805.693,8.603,8.507
-489.488,-808.731,8.622,8.528
-485.509,-811.770,8.641,8.548
-481.530,-814.808,8.660,8.569
-477.551,-817.847,8.678,8.590
-473.572,-820.885,8.697,8.611
-469.593,-823.924,8.716,8.632
-465.614,-826.962,8.735,8.652
-461.635,-830.001,8.754,8.673
-457.656,-833.040,8.773,8.694
-453.678,-836.078,8.792,8.715
-449.699,-839.117,8.811,8.736
-445.720,-842.155,8.829,8.757
-441.741,-845.194,8.848,8.777
-437.762,-848.232,8.867,8.798
-433.783,-851.271,8.886,8.819
-429.804,-854.309,8.905,8.840
-425.826,-857.348,8.924,8.861
-421.847,-860.386,8.943,8.882
-417.868,-863.425,8.962,8.902
-413.889,-866.463,8.980,8.923
-409.910,-869.501,8.999,8.944
-405.931,-872.540,9.018,8.965
-401.952,-875.578,9.037,8.986
-397.973,-878.617,9.056,9.007
-393.994,-881.655,9.075,9.027
-390.015,-884.693,9.094,9.048
-386.036,-887.732,9.112,9.069
-382.057,-890.770,9.131,9.090
-378.078,-893.808,9.150,9.111
-374.099,-896.846,9.169,9.132
-370.120,-899.885,9.188,9.152
-366.141,-902.923,9.207,9.173
-362.162,-905.961,9.226,9.194
-358.183,-908.999,9.245,9.215
-354.204,-912.037,9.263,9.236
-350.225,-915.075,9.282,9.257
-346.246,-918.113,9.301,9.277
-342.266,-921.151,9.320,9.298
-338.287,-924.189,9.339,9.319
-334.308,-927.227,9.358,9.340
-330.329,-930.265,9.377,9.361
-326.349,-933.303,9.396,9.382
-322.370,-936.341,9.414,9.402
-318.391,-939.379,9.433,9.423
-314.411,-942.416,9.452,9.444
-310.432,-945.454,9.471,9.465
-306.453,-948.491,9.490,9.486
-302.473,-951.529,9.509,9.507
-298.494,-954.567,9.528,9.527
-294.514,-957.604,9.547,9.548
-290.535,-960.641,9.565,9.569
-286.555,-963.679,9.584,9.590
-282.575,-966.716,9.603,9.611
-278.596,-969.753,9.622,9.631
-274.617,-972.792,9.641,9.652
-270.639,-975.832,9.660,9.673
-266.662,-978.874,9.679,9.694
-262.686,-981.919,9.697,9.715
-258.713,-984.967,9.834,9.817
-254.743,-988.020,10.174,10.063
-250.775,-991.077,10.514,10.308
-246.808,-994.136,10.855,10.553
-242.786,-997.108,11.195,10.799
-238.607,-999.825,11.549,11.118
-234.223,-1002.212,11.930,11.577
-229.738,-1004.444,12.310,12.037
-225.249,-1006.680,12.690,12.496
-220.766,-1008.928,13.070,12.956
-216.282,-1011.167,13.354,13.207
-211.792,-1013.379,13.579,13.332
-207.283,-1015.523,13.805,13.457
-202.712,-1017.503,14.031,13.581
-198.034,-1019.215,13.864,13.499
-193.205,-1020.553,13.601,13.365
-188.202,-1021.381,13.230,12.962
-183.213,-1021.274,12.393,12.048
-178.540,-1019.664,11.418,11.019
-174.747,-1016.427,11.340,10.486
-172.772,-1012.110,8.944,8.533
-172.813,-1007.234,8.729,8.241
-173.962,-1002.207,8.409,8.130
-175.372,-997.349,7.870,8.079
-176.847,-992.618,7.733,7.801
-178.375,-987.895,7.596,7.524
-179.944,-983.159,7.459,7.246
-181.546,-978.417,7.380,7.205
-183.170,-973.674,7.302,7.171
-184.809,-968.937,7.225,7.136
-186.461,-964.205,7.148,7.102
-188.123,-959.478,7.091,7.057
-189.794,-954.756,7.039,7.011
-191.474,-950.037,6.987,6.964
-193.160,-945.322,6.935,6.918
-194.852,-940.609,6.883,6.871
-196.547,-935.899,6.831,6.825
-198.245,-931.190,6.779,6.779
-199.945,-926.482,6.727,6.732
-201.644,-921.774,6.675,6.686
-203.342,-917.066,6.623,6.639
-205.037,-912.358,6.571,6.593
-206.728,-907.648,6.519,6.547
-208.414,-902.936,6.467,6.500
-210.093,-898.222,6.415,6.454
-211.763,-893.504,6.363,6.407
-213.426,-888.783,6.311,6.361
-215.087,-884.061,6.259,6.314
-216.758,-879.341,6.207,6.268
-218.451,-874.625,6.156,6.222
-220.176,-869.916,6.104,6.170
-221.915,-865.211,6.059,6.085
-223.612,-860.493,6.013,6.001
-225.208,-855.748,5.967,5.917
-226.642,-850.960,5.859,5.930
-227.863,-846.117,5.733,5.982
-228.846,-841.223,5.715,6.087
-229.574,-836.285,5.799,6.099
-230.029,-831.311,5.958,6.023
-230.196,-826.310,5.910,5.873
-230.081,-821.295,5.897,5.860
-229.706,-816.285,5.899,5.904
-229.097,-811.297,5.924,5.935
-228.275,-806.349,5.912,5.977
-227.255,-801.451,5.849,6.035
-226.040,-796.606,5.846,6.025
-224.635,-791.818,5.863,5.991
-223.044,-787.088,5.829,6.033
-221.273,-782.420,5.830,6.049
-219.325,-777.816,5.941,5.984
-217.205,-773.281,5.938,5.970
-214.917,-768.816,5.828,6.005
-212.464,-764.428,5.879,5.889
-209.830,-760.146,5.937,5.804
-206.993,-756.011,5.867,6.057
-203.930,-752.063,5.914,6.112
-200.618,-748.342,6.105,5.928
-197.065,-744.855,5.913,6.089
-193.315,-741.564,5.611,6.347
-189.416,-738.431,5.860,6.095
-185.416,-735.415,6.040,5.929
-181.357,-732.483,6.000,6.047
-177.250,-729.619,5.993,6.121
-173.104,-726.814,6.084,6.063
-168.925,-724.059,6.176,6.005
-164.719,-721.343,6.138,6.041
-160.493,-718.658,6.091,6.083
-156.253,-715.992,6.044,6.125
-152.007,-713.338,5.997,6.167
-147.761,-710.685,5.981,6.178
-143.519,-708.027,5.984,6.171
-139.280,-705.365,5.987,6.164
-135.043,-702.700,5.990,6.157
-130.807,-700.035,5.994,6.150
-126.571,-697.371,5.997,6.143
-122.332,-694.710,6.000,6.136
-118.090,-692.054,6.003,6.129
-113.843,-689.404,6.007,6.122
-109.590,-686.763,6.010,6.115
-105.332,-684.129,6.013,6.108
-101.069,-681.500,6.016,6.101
-96.804,-678.876,6.020,6.094
-92.537,-676.253,6.023,6.087
-88.270,-673.631,6.026,6.080
-84.004,-671.007,6.029,6.074
-79.740,-668.380,6.033,6.067
-75.479,-665.748,6.036,6.060
-71.224,-663.109,6.039,6.053
-66.974,-660.461,6.042,6.046
-62.732,-657.803,6.046,6.039
-58.498,-655.133,6.049,6.032
-54.275,-652.448,6.052,6.025
-50.062,-649.748,6.092,5.897
