# x_m,y_m,w_tr_right_m,w_tr_left_m
641.401,-1329.769,6.000,6.000
645.635,-1329.519,6.000,6.000
649.870,-1329.269,6.000,6.000
654.101,-1328.971,6.000,6.000
658.331,-1328.661,6.000,6.000
662.560,-1328.338,6.000,6.000
666.788,-1328.000,6.000,6.000
671.016,-1327.663,6.000,6.000
675.243,-1327.303,6.000,6.000
679.468,-1326.938,6.000,6.000
683.694,-1326.573,6.000,6.000
687.920,-1326.204,6.000,6.000
692.145,-1325.835,6.000,6.000
696.370,-1325.465,6.000,6.000
700.596,-1325.102,6.000,6.000
704.822,-1324.739,6.000,6.000
709.048,-1324.377,6.000,6.000
713.274,-1324.007,6.000,6.000
717.499,-1323.632,6.000,6.000
721.724,-1323.256,6.000,6.000
725.949,-1322.880,6.000,6.000
730.173,-1322.500,6.000,6.000
734.397,-1322.119,6.000,6.000
738.622,-1321.739,6.000,6.000
742.846,-1321.357,6.000,6.000
747.070,-1320.974,6.000,6.000
751.295,-1320.591,6.000,6.000
755.509,-1320.125,6.000,6.000
759.712,-1319.549,6.000,6.000
763.914,-1318.973,6.000,6.000
768.117,-1318.402,6.000,6.000
772.323,-1317.853,6.000,6.000
776.529,-1317.305,6.000,6.000
780.735,-1316.756,6.000,6.000
784.936,-1316.172,6.000,6.000
789.136,-1315.583,6.000,6.000
793.337,-1314.993,6.000,6.000
797.536,-1314.394,6.000,6.000
801.734,-1313.788,6.000,6.000
805.932,-1313.182,6.000,6.000
810.126,-1312.552,6.000,6.000
814.312,-1311.866,6.000,6.000
818.498,-1311.181,6.000,6.000
822.682,-1310.490,6.000,6.000
826.858,-1309.744,6.000,6.000
831.033,-1308.997,6.000,6.000
835.208,-1308.251,6.000,6.000
839.381,-1307.487,6.000,6.000
843.553,-1306.722,6.000,6.000
847.725,-1305.958,6.000,6.000
851.884,-1305.128,6.000,6.000
856.042,-1304.289,6.000,6.000
860.200,-1303.450,6.000,6.000
864.356,-1302.601,6.000,6.000
868.511,-1301.749,6.000,6.000
872.666,-1300.897,6.000,6.000
876.813,-1300.008,6.000,6.000
880.956,-1299.101,6.000,6.000
885.100,-1298.193,6.000,6.000
889.265,-1297.399,6.000,6.000
893.447,-1296.690,6.000,6.000
897.629,-1295.980,6.000,6.000
901.821,-1295.342,6.000,6.000
906.024,-1294.765,6.000,6.000
910.226,-1294.187,6.000,6.000
914.430,-1293.628,6.000,6.000
918.637,-1293.088,6.000,6.000
922.844,-1292.548,6.000,6.000
927.052,-1292.012,6.000,6.000
931.261,-1291.488,6.000,6.000
935.470,-1290.964,6.000,6.000
939.679,-1290.440,6.000,6.000
943.888,-1289.919,6.000,6.000
948.098,-1289.398,6.000,6.000
952.307,-1288.877,6.000,6.000
956.489,-1288.169,6.000,6.000
960.670,-1287.455,6.000,6.000
964.851,-1286.741,6.000,6.000
969.037,-1286.057,6.000,6.000
973.224,-1285.381,6.000,6.000
977.412,-1284.705,6.000,6.000
981.597,-1284.015,6.000,6.000
985.780,-1283.315,6.000,6.000
989.964,-1282.615,6.000,6.000
994.148,-1281.919,6.000,6.000
998.333,-1281.232,6.000,6.000
1002.519,-1280.545,6.000,6.000
1006.701,-1279.841,6.000,6.000
1010.845,-1278.936,6.000,6.000
1014.989,-1278.030,6.000,6.000
1019.132,-1277.125,6.000,6.000
1023.291,-1276.290,6.000,6.000
1027.454,-1275.480,6.000,6.000
1031.618,-1274.670,6.000,6.000
1035.778,-1273.843,6.000,6.000
1039.928,-1272.967,6.000,6.000
1044.078,-1272.092,6.000,6.000
1048.230,-1271.223,6.000,6.000
1052.393,-1270.411,6.000,6.000
1056.556,-1269.599,6.000,6.000
1060.719,-1268.786,6.000,6.000
1064.882,-1267.976,6.000,6.000
1069.046,-1267.166,6.000,6.000
1073.209,-1266.356,6.000,6.000
1077.388,-1265.630,6.000,6.000
1081.580,-1264.985,6.000,6.000
1085.772,-1264.339,6.000,6.000
1089.964,-1263.696,6.000,6.000
1094.158,-1263.060,6.000,6.000
1098.351,-1262.424,6.000,6.000
1102.544,-1261.784,6.000,6.000
1106.733,-1261.118,6.000,6.000
1110.922,-1260.452,6.000,6.000
1115.111,-1259.786,6.000,6.000
1119.301,-1259.128,6.000,6.000
1123.492,-1258.470,6.000,6.000
1127.682,-1257.813,6.000,6.000
1131.873,-1257.158,6.000,6.000
1136.064,-1256.505,6.000,6.000
1140.255,-1255.851,6.000,6.000
1144.412,-1255.018,6.000,6.000
1148.559,-1254.128,6.000,6.000
1152.706,-1253.238,6.000,6.000
1156.856,-1252.361,6.000,6.000
1161.007,-1251.487,6.000,6.000
1165.158,-1250.614,6.000,6.000
1169.321,-1249.804,6.000,6.000
1173.488,-1249.013,6.000,6.000
1177.655,-1248.222,6.000,6.000
1181.851,-1247.615,6.000,6.000
1186.061,-1247.097,6.000,6.000
1190.271,-1246.580,6.000,6.000
1194.490,-1246.145,6.000,6.000
1198.713,-1245.754,6.000,6.000
1202.936,-1245.362,6.000,6.000
1207.165,-1245.037,6.000,6.000
1211.398,-1244.765,6.000,6.000
1215.631,-1244.493,6.000,6.000
1219.867,-1244.298,6.000,6.000
1224.107,-1244.197,6.000,6.000
1228.348,-1244.096,6.000,6.000
1232.588,-1244.040,6.000,6.000
1236.830,-1244.078,6.000,6.000
1241.071,-1244.115,6.000,6.000
1245.312,-1244.177,6.000,6.000
1249.550,-1244.355,6.000,6.000
1253.788,-1244.533,6.000,6.000
1258.025,-1244.711,6.000,6.000
1262.252,-1245.066,6.000,6.000
1266.478,-1245.427,6.000,6.000
1270.704,-1245.788,6.000,6.000
1274.920,-1246.252,6.000,6.000
1279.133,-1246.745,6.000,6.000
1283.345,-1247.239,6.000,6.000
1287.550,-1247.796,6.000,6.000
1291.745,-1248.419,6.000,6.000
1295.941,-1249.043,6.000,6.000
1300.140,-1249.641,6.000,6.000
1304.346,-1250.186,6.000,6.000
1308.552,-1250.731,6.000,6.000
1312.756,-1251.294,6.000,6.000
1316.949,-1251.938,6.000,6.000
1321.141,-1252.583,6.000,6.000
1325.333,-1253.229,6.000,6.000
1329.510,-1253.964,6.000,6.000
1333.688,-1254.699,6.000,6.000
1337.865,-1255.435,6.000,6.000
1342.030,-1256.239,6.000,6.000
1346.192,-1257.055,6.000,6.000
1350.354,-1257.872,6.000,6.000
1354.506,-1258.736,6.000,6.000
1358.654,-1259.624,6.000,6.000
1362.801,-1260.513,6.000,6.000
1366.942,-1261.430,6.000,6.000
1371.076,-1262.382,6.000,6.000
1375.209,-1263.333,6.000,6.000
1379.339,-1264.300,6.000,6.000
1383.459,-1265.309,6.000,6.000
1387.578,-1266.319,6.000,6.000
1391.698,-1267.330,6.000,6.000
1395.803,-1268.396,6.000,6.000
1399.909,-1269.462,6.000,6.000
1404.014,-1270.528,6.000,6.000
1408.108,-1271.638,6.000,6.000
1412.198,-1272.759,6.000,6.000
