# x_m,y_m,w_tr_right_m,w_tr_left_m
1185.982,-896.573,5.566,5.566
1191.410,-886.151,5.548,5.548
1196.493,-876.563,5.522,5.522
1200.858,-868.459,5.526,5.526
1204.456,-861.840,5.547,5.547
1207.285,-856.706,5.579,5.579
1209.961,-851.944,5.625,5.625
1212.867,-846.720,5.666,5.666
1216.067,-840.882,5.695,5.695
1219.575,-834.430,5.699,5.699
1223.250,-827.670,5.674,5.674
1226.578,-821.525,5.658,5.658
1229.599,-815.995,5.646,5.646
1232.326,-811.066,5.654,5.654
1234.759,-806.700,5.700,5.700
1237.012,-802.437,5.732,5.732
1239.124,-798.123,5.803,5.803
1240.968,-793.770,5.920,5.920
1242.171,-789.571,6.030,6.030
1242.440,-785.461,6.151,6.151
1241.710,-781.403,6.249,6.249
1240.046,-777.396,6.219,6.219
1237.934,-773.222,6.136,6.136
1236.257,-768.511,6.027,6.027
1235.745,-763.454,5.886,5.886
1236.692,-757.923,5.802,5.802
1239.291,-751.676,5.756,5.756
1243.093,-745.198,5.743,5.743
1247.740,-738.272,5.767,5.767
1252.925,-730.885,5.797,5.797
1258.341,-723.408,5.813,5.813
1264.319,-715.394,5.834,5.834
1270.823,-707.060,5.806,5.806
1277.659,-698.943,5.818,5.818
1284.867,-691.262,5.904,5.904
1291.947,-684.694,6.034,6.034
1298.246,-679.906,6.193,6.193
1303.904,-676.232,6.339,6.339
1308.884,-673.198,6.345,6.345
1313.199,-670.330,6.247,6.247
1317.167,-666.873,6.118,6.118
1321.034,-662.623,5.991,5.991
1325.118,-657.412,5.887,5.887
1329.534,-651.318,5.839,5.839
1334.476,-644.456,5.822,5.822
1339.904,-636.980,5.724,5.724
1345.153,-629.516,5.671,5.671
1349.736,-622.680,5.653,5.653
1353.667,-616.445,5.683,5.683
1356.842,-610.786,5.805,5.805
1359.517,-605.588,5.988,5.988
1362.065,-600.480,6.223,6.223
1364.498,-595.385,6.506,6.506
1366.904,-590.213,6.846,6.846
1369.324,-584.951,7.000,7.000
1371.705,-579.613,7.000,7.000
1374.035,-574.210,7.000,7.000
1376.263,-568.897,7.000,7.000
1378.234,-563.930,7.000,7.000
1379.899,-559.257,7.000,7.000
1381.333,-554.840,7.000,7.000
1382.523,-550.641,7.000,7.000
1383.509,-546.493,7.000,7.000
1384.367,-542.345,7.000,7.000
1385.084,-538.197,7.000,7.000
1385.609,-534.049,7.000,7.000
1385.954,-529.901,7.000,7.000
1386.005,-525.753,7.000,7.000
1385.788,-521.605,7.000,7.000
1385.353,-517.457,7.000,7.000
1384.738,-513.309,7.000,7.000
1384.162,-509.161,7.000,7.000
1383.752,-505.013,7.000,7.000
1383.778,-500.712,7.000,7.000
1384.316,-496.205,7.000,7.000
1385.314,-491.494,7.000,7.000
1386.684,-486.578,7.000,7.000
1388.182,-481.560,7.000,7.000
1389.321,-476.746,7.000,7.000
1390.102,-472.137,7.000,7.000
1390.525,-467.733,7.000,7.000
1390.602,-463.534,7.000,7.000
1390.602,-459.386,7.000,7.000
1390.602,-455.238,7.000,7.000
1390.602,-451.090,7.000,7.000
1390.602,-446.942,7.000,7.000
1390.602,-442.794,7.000,7.000
1390.704,-438.569,7.000,7.000
1391.254,-434.037,7.000,7.000
1392.266,-429.198,7.000,7.000
1393.738,-424.051,7.000,7.000
1395.710,-418.598,7.000,7.000
1397.553,-413.298,7.000,7.000
1399.000,-408.305,7.000,7.000
1400.088,-403.619,7.000,7.000
1400.792,-399.241,7.000,7.000
1401.151,-395.093,7.000,7.000
1401.548,-390.945,7.000,7.000
1401.919,-386.797,7.000,7.000
1402.277,-382.649,7.000,7.000
1402.636,-378.501,7.000,7.000
1402.917,-374.353,7.000,7.000
1403.148,-370.205,7.000,7.000
1403.353,-366.057,7.000,7.000
1403.481,-361.909,7.000,7.000
1403.660,-357.761,7.000,7.000
1403.916,-353.613,7.000,7.000
1404.185,-349.465,7.000,7.000
1404.543,-345.317,7.000,7.000
